Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Status
lentile-pe-reteta,Lentile pe rețetă,Lentile pe rețetă — se configurează exclusiv prin calculatorul de pe pagina Lentile (/pages/lentile). Prețul și disponibilitatea depind de rețeta ta; produsul nu se comandă direct din această pagină. Toate prețurile includ TVA.,Optivix,Lentile,,FALSE,Cod lentilă,M01,M01,0,shopify,100,deny,manual,100.00,TRUE,TRUE,draft
lentile-pe-reteta,,,,,,,,M02,M02,0,,,continue,manual,150.00,TRUE,TRUE,
lentile-pe-reteta,,,,,,,,M03,M03,0,,,continue,manual,180.00,TRUE,TRUE,
lentile-pe-reteta,,,,,,,,M04,M04,0,,,continue,manual,220.00,TRUE,TRUE,
lentile-pe-reteta,,,,,,,,M05,M05,0,,,continue,manual,380.00,TRUE,TRUE,
lentile-pe-reteta,,,,,,,,M06,M06,0,,,continue,manual,450.00,TRUE,TRUE,
lentile-pe-reteta,,,,,,,,M07,M07,0,shopify,100,deny,manual,350.00,TRUE,TRUE,
lentile-pe-reteta,,,,,,,,M08,M08,0,,,continue,manual,450.00,TRUE,TRUE,
lentile-pe-reteta,,,,,,,,M09,M09,0,,,continue,manual,400.00,TRUE,TRUE,
lentile-pe-reteta,,,,,,,,M10,M10,0,,,continue,manual,650.00,TRUE,TRUE,
lentile-pe-reteta,,,,,,,,M11,M11,0,,,continue,manual,800.00,TRUE,TRUE,
lentile-pe-reteta,,,,,,,,M12,M12,0,shopify,100,deny,manual,350.00,TRUE,TRUE,
lentile-pe-reteta,,,,,,,,M13,M13,0,,,continue,manual,480.00,TRUE,TRUE,
lentile-pe-reteta,,,,,,,,M14,M14,0,,,continue,manual,650.00,TRUE,TRUE,
lentile-pe-reteta,,,,,,,,M15,M15,0,,,continue,manual,850.00,TRUE,TRUE,
lentile-pe-reteta,,,,,,,,M16,M16,0,,,continue,manual,900.00,TRUE,TRUE,
lentile-pe-reteta,,,,,,,,M17,M17,0,,,continue,manual,800.00,TRUE,TRUE,
lentile-pe-reteta,,,,,,,,M18,M18,0,,,continue,manual,950.00,TRUE,TRUE,
lentile-pe-reteta,,,,,,,,M19,M19,0,,,continue,manual,1200.00,TRUE,TRUE,
lentile-pe-reteta,,,,,,,,M20,M20,0,,,continue,manual,1400.00,TRUE,TRUE,
lentile-pe-reteta,,,,,,,,M21,M21,0,shopify,100,deny,manual,350.00,TRUE,TRUE,
lentile-pe-reteta,,,,,,,,M22,M22,0,,,continue,manual,500.00,TRUE,TRUE,
lentile-pe-reteta,,,,,,,,B01,B01,0,shopify,100,deny,manual,350.00,TRUE,TRUE,
lentile-pe-reteta,,,,,,,,B02,B02,0,shopify,100,deny,manual,450.00,TRUE,TRUE,
lentile-pe-reteta,,,,,,,,B03,B03,0,,,continue,manual,600.00,TRUE,TRUE,
lentile-pe-reteta,,,,,,,,B04,B04,0,,,continue,manual,650.00,TRUE,TRUE,
lentile-pe-reteta,,,,,,,,B05,B05,0,,,continue,manual,750.00,TRUE,TRUE,
lentile-pe-reteta,,,,,,,,B06,B06,0,,,continue,manual,850.00,TRUE,TRUE,
lentile-pe-reteta,,,,,,,,B07,B07,0,,,continue,manual,1200.00,TRUE,TRUE,
lentile-pe-reteta,,,,,,,,B08,B08,0,,,continue,manual,1300.00,TRUE,TRUE,
